05/jan.,cell tim mamis,"-R$ 72,99",07/fev.,apas,"-R$ 323,61",08/mar.,nutri gourmet,"-R$ 468,00",6/abr.,euros para viagem,"-R$ 1.681,39",8/mai.,euros para viagem,"-R$ 558,66",07/jun.,apas,"-R$ 406,00",07/jul.,escola joâo,"-R$ 3.451,08",29/ago.,euros para viagem,"-R$ 950,00",08/set.,apas,"-R$ 406,00",06/out.,apas,"-R$ 406,00",20/nov.,mamis,"-R$ 37,82",07/dez.,apas,"-R$ 406,00"
05/jan.,fone mãe,"-R$ 35,87",07/fev.,escola joâo,"-R$ 3.451,08",07/mar.,apas,"-R$ 346,77",10/abr.,apas,"-R$ 425,00",08/mai.,apas,"-R$ 406,00",07/jun.,escola joâo,"-R$ 3.451,08",07/jul.,cell tim mamis,"-R$ 78,99",10/ago.,apas,"-R$ 425,60",8/set.,escola joâo,"-R$ 3.451,08",06/out.,escola joâo,"-R$ 3.451,08",09/nov.,fone mãe,"-R$ 38,07",07/dez.,escola joâo,"-R$ 3.451,08"
09/jan.,condominio,"-R$ 430,00",07/fev.,cell tim mamis,"-R$ 72,99",07/mar.,escola joâo,"-R$ 3.451,08",06/abr.,escola joâo,"-R$ 3.451,08",08/mai.,escola joâo,"-R$ 3.451,08",07/jun.,Pedro fisio,"-R$ 1.077,30",07/jul.,fone mãe,"-R$ 35,87",7/ago.,escola joâo,"-R$ 3.451,08",8/set.,cell tim mamis,"-R$ 78,99",24/out.,Pedro fisio,"-R$ 1.080,00",09/nov.,condominio,"-R$ 464,25",11/dez.,cell tim mamis,"-R$ 78,99"
17/jan.,daerp,"-R$ 271,92",24/fev.,ajuda poly,"-R$ 5.000,00",22/mar.,Pedro fisio,"-R$ 1.080,00",06/abr.,cell tim mamis,"-R$ 72,99",09/mai.,cell tim mamis,"-R$ 78,99",06/jun.,cell tim mamis,"-R$ 78,99",10/jul.,condominio,"-R$ 430,00",7/ago.,cell tim mamis,"-R$ 78,99",8/set.,fone mãe,"-R$ 38,07",06/out.,cell tim mamis,"-R$ 78,99",16/nov.,daerp,"-R$ 159,37",07/dez.,mamis,"-R$ 36,48"
12/jan.,saúde mãe,"-R$ 923,73",07/fev.,fone mãe,"-R$ 37,17",07/mar.,cell tim mamis,"-R$ 72,99",06/abr.,fone mãe,"-R$ 35,87",08/mai.,fone mãe,"-R$ 37,09",06/jun.,fone mãe,"-R$ 36,48",10/jul.,daerp,"-R$ 159,37",03/ago.,fone mãe,"-R$ 38,31",8/set.,condominio,"-R$ 455,00",06/out.,fone mãe,"R$ 36,48",10/nov.,saúde mãe,"-R$ 1.077,30",07/dez.,condominio,"-R$ 455,00"
17/jan.,mei,"-R$ 66,60",07/fev.,condominio,"-R$ 430,00",07/mar.,fone mãe,"-R$ 35,87",06/abr.,condominio,"-R$ 430,00",08/mai.,condominio,"-R$ 430,00",07/jun.,condominio,"-R$ 430,00",10/jul.,saúde mãe,"-R$ 1.077,30",08/ago.,condominio,"-R$ 455,00",18/set.,daerp,"-R$ 159,37",06/out.,condominio,"-R$ 455,00",20/nov.,mei,"-R$ 72,00",18/dez.,daerp,"-R$ 159,37"
17/jan.,taxa manutenção girassois,"-R$ 89,34",17/fev.,daerp,"-R$ 83,80",07/mar.,condominio,"-R$ 430,00",14/abr.,daerp,"-R$ 234,86",16/mai.,daerp,"-R$ 75,97",13/jun.,daerp,"-R$ 159,37",10/jul.,mei,"-R$ 72,00",17/ago.,daerp,"-R$ 159,37",8/set.,saúde mãe,"-R$ 1.077,30",18/out.,daerp,"-R$ 173,61",16/nov.,taxa manutenção girassois,"-R$ 89,34",11/dez.,saúde mãe,"-R$ 1.077,30"
10/jan.,naufel tennis,"-R$ 200,00",10/fev.,saúde mãe,"-R$ 923,73",10/mar.,daerp,"-R$ 134,43",10/abr.,saúde mãe,"-R$ 923,73",09/mai.,saúde mãe,"-R$ 932,73",09/jun.,saúde mãe,"-R$ 1.077,30",10/jul.,taxa manutenção girassois,"-R$ 89,34",10/ago.,saúde mãe,"-R$ 1.077,30",18/set.,mei,"-R$ 72,00",09/out.,saúde mãe,"-R$ 1.077,30",09/nov.,naufel tennis,"-R$ 250,00",18/dez.,mei,"-R$ 72,00"
10/jan.,piscina,"-R$ 150,00",22/fev.,mei,"-R$ 71,10",9/mar.,saúde mãe,"-R$ 923,73",24/abr.,mei,"-R$ 71,33",22/mai.,mei,"-R$ 71,10",19/jun.,mei,"-R$ 72,00",10/jul.,naufel tennis,"-R$ 230,00",17/ago.,mei,"-R$ 72,00",18/set.,taxa manutenção girassois,"-R$ 89,34",19/out.,mei,"-R$ 72,00",09/nov.,piscina,"-R$ 150,00",19/dez.,taxa manutenção girassois,"-R$ 89,34"
06/jan.,piano,"-R$ 920,00",7/fev.,tesouro maiara,"-R$ 110,41",21/mar.,mei,"-R$ 71,33",24/abr.,taxa manutenção girassois,"-R$ 89,34",22/mai.,taxa manutenção girassois,"-R$ 89,34",19/jun.,taxa manutenção girassois,"-R$ 89,34",7/jul.,piscina,"-R$ 150,00",17/ago.,taxa manutenção girassois,"-R$ 89,34",8/set.,naufel tennis,"-R$ 250,00",19/out.,taxa manutenção girassois,"-R$ 89,34",09/nov.,piano,"-R$ 1.165,00",11/dez.,naufel tennis,"-R$ 250,00"
